Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
83350,"Taking the Red Pill: Science, Philosophy and Religion in The Matrix",Glenn Yeffeth,"Yeffeth, Glenn",David Gerrold,"=""1932100024""","=""9781932100020""",0,Benbella Books,Paperback,298,2003,2003,,2013/12/12,to-read,to-read (#18),to-read,,,,0,0
17856436,"Belligerent (Vicara, #1)",B.N. Mauldin,"Mauldin, B.N.",,"=""1939897009""","=""9781939897008""",0,Fable Press,Paperback,226,2013,2013,,2013/12/06,to-read,to-read (#17),to-read,,,,0,0
35870,"Ghost in the Shell (Ghost in the Shell, #1)",Masamune Shirow,"Shirow, Masamune",,"=""1593072287""","=""9781593072285""",0,Dark Horse,Paperback,368,2004,1989,,2013/12/06,to-read,to-read (#16),to-read,,,,0,0
19691,"The Hunt for Red October (Jack Ryan, #3)",Tom Clancy,"Clancy, Tom",,"=""0425172902""","=""9780425172902""",0,Berkley Trade,Mass Market Paperback,432,1999,1984,,2013/12/06,to-read,to-read (#15),to-read,,,,0,0
455373,Sphere,Michael Crichton,"Crichton, Michael",,"=""""","=""""",0,Ballantine Books,Paperback,371,1997,1987,,2013/12/06,to-read,to-read (#14),to-read,,,,0,0
30659,Meditations,Marcus Aurelius,"Aurelius, Marcus",Martin Hammond,"=""0140449337""","=""9780140449334""",0,Penguin Books,Paperback,254,2006,180,,2013/12/06,to-read,to-read (#13),to-read,,,,0,0
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",5,Crown Publishers,Hardcover,480,2011,2011,2013/12/06,2013/10/26,,,read,,,,1,0
114737,"It's Not How Good You Are, It's How Good You Want To Be",Paul Arden,"Arden, Paul",,"=""0714843377""","=""9780714843377""",0,Phaidon Press,Paperback,128,2007,2003,,2013/10/16,to-read,to-read (#11),to-read,,,,0,0
35289,The 33 Strategies of War,Robert Greene,"Greene, Robert",,"=""0670034576""","=""9780670034574""",0,Viking,Hardcover,496,2025,2001,,2013/10/16,to-read,to-read (#10),to-read,,,,0,0
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",4,Alfred A. Knopf,Hardcover,241,2006,2006,2013/10/10,2013/09/07,,,read,,,,1,0
44882,Code: The Hidden Language of Computer Hardware and Software,Charles Petzold,"Petzold, Charles",,"=""0735611319""","=""9780735611313""",0,Microsoft Press,Paperback,396,2000,1999,,2013/09/19,to-read,to-read (#9),to-read,,,,0,0
341735,Replay,Ken Grimwood,"Grimwood, Ken",,"=""068816112X""","=""9780688161125""",5,William Morrow Paperbacks,Paperback,311,1998,1987,2012/05/02,2012/04/19,,,read,,,,1,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",5,St. Martin's Griffin,Paperback,264,2004,1939,2012/07/01,2012/06/18,,,read,,,,1,0
43889,"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,"Goodkind, Terry",,"=""0765346524""","=""9780765346520""",5,Tor Books,Mass Market Paperback,836,2003,1994,2013/09/17,2013/08/10,,,read,,,,1,0
11758566,Persuasion,Jane Austen,"Austen, Jane","Gillian Beer, Claire Lamont, Coralie Bickford-Smith","=""0141197692""","=""9780141197692""",0,Penguin Classics,Hardcover,250,2012,1817,,2013/09/07,to-read,to-read (#8),to-read,,,,0,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",0,Vintage International,Paperback,123,1989,1942,,2013/09/03,to-read,to-read (#7),to-read,,,,0,0
8163148,How Pleasure Works: The New Science of Why We Like What We Like,Paul Bloom,"Bloom, Paul",,"=""0393066320""","=""9780393066326""",4,W. W. Norton & Company,Hardcover,304,2010,2010,2013/08/12,2013/08/15,,,read,,,,1,0
